Id,Price
4567,163441.43602299815
5925,117116.20273758736
960,145306.65495802005
3848,140272.754643875
746,199525.05203118935
868,335330.04434327985
672,122955.76270335802
2471,216703.6308286199
4510,139539.70171136563
8354,277283.3664283801
6393,163650.46954219395
13270,230568.40917075705
5250,263077.66681172175
16751,167525.90148040035
11404,132638.1465815708
10588,366943.59907625784
14925,202839.86407258117
6791,235231.12263334976
16097,173560.6188319277
16428,372289.47057629155
6945,323281.2843240587
3190,197510.84196666762
15709,395347.72213330003
13155,191244.21438893385
7675,202626.05311745693
14686,236230.22478621782
609,163754.91361909691
11155,190115.22177888267
10869,188803.69299631068
15742,180137.86057934523
9245,194473.8780117361
3340,157803.32067372522
2359,290472.652515293
8070,200845.53101137944
13707,131315.98380822563
16079,277454.24739727273
15937,271054.27066492336
14090,183251.03797920462
9008,200801.97173206985
16384,162219.33372251998
11657,226112.84933855035
13151,206154.4611066905
8990,147141.39882683347
11857,188222.0665390341
1565,154610.2411651529
8174,100463.29726318602
9247,217465.29848777142
10478,208611.88234661828
15509,136839.39782646517
8306,305873.75403797027
6642,189241.6664762378
7472,208429.4797812216
15989,130247.98680985939
13682,130147.39172349067
163,181992.80390304208
7076,192095.8423554229
7478,320276.85210500384
3029,185427.56998891392
1814,142471.96970980632
10057,124972.94208112698
15100,198585.5493267809
12694,198905.29030264838
6291,187538.19898915666
12603,173861.75251681235
3218,232514.92702287826
13456,124274.25621238441
10170,213838.10803510362
4530,151487.73221438218
13329,161213.7519922207
4820,147215.2597437812
10896,169666.19333954054
13416,124925.95642325176
2701,206082.87817954377
11265,311466.1431210871
9189,267740.15355229727
1858,167418.3876143993
14536,240004.68248092043
6199,297612.3735743214
14730,146983.44477714473
7510,268056.15136534726
15505,151909.25237599353
7446,174224.32223072147
14016,174951.810238756
14113,108727.96361269469
8721,278180.1566201886
6193,314310.6587203938
5717,188811.81598829437
5427,301426.9938487829
9520,480197.117312168
6869,101340.11532467415
1658,158398.39603955028
6639,214455.8167114384
6283,186357.3776355862
6257,122884.91008639708
15235,172952.64590020283
902,194801.12451288346
8932,192734.52570425742
16469,398200.91321391053
2825,281264.38817286113
6450,431678.59555649717
11366,170261.8514405657
3801,384854.28911659564
11385,194019.80921906195
1079,197560.38278372973
3202,238427.7607107891
676,210674.65523892242
6185,269250.97285095055
7730,153976.47886140554
2573,182247.13801363026
10978,205217.95995643808
10962,254063.9634491289
8870,185249.7635613852
8496,185542.26572976485
5517,162989.28578009483
927,178711.97838558623
13675,178429.3845099706
1499,222273.38377030744
15536,371450.674807368
8602,406542.8207421328
12137,423494.19535680825
9865,244843.70284952133
16353,279599.51453229936
15908,217525.62686927055
3944,190082.5798713762
10359,204908.0235875561
15158,221762.62469710314
3259,252055.1790077773
7220,341432.15703086724
13843,196315.65770151178
16736,195318.8920851652
702,281431.6626127551
16401,195008.61872088004
12134,199691.6797868285
6918,153685.91105751175
11792,130838.43626519683
3798,138734.76450415433
10395,131194.56755529618
11099,159799.7373800785
7090,202500.8265733032
11260,199891.45545652747
9647,191194.4810550257
2903,380826.9722247817
2071,189456.9769963925
8604,198564.83523738058
9346,199978.21142288853
3945,217509.77839471868
3420,119548.54019739325
10842,126146.12507586899
725,155516.50216463167
13931,193828.88753782233
16330,259575.3626105839
9066,452335.663652796
3326,311808.41258608276
1556,287802.27165115875
6579,107088.12561568059
13877,142853.12954298506
9857,365223.8764255855
7302,260435.4708021802
5684,189270.51540940683
6513,224857.3175001906
11342,110381.03127877554
16561,221679.19743213052
6885,178183.276509406
9308,176628.28753946934
2559,178812.5313238721
6648,175957.21430083987
15260,169389.62781980715
5113,192971.58545241546
16492,167990.79161804213
12034,283488.24740856176
7248,214916.07877547934
2171,216739.13806616602
10594,190214.85012652734
13241,207578.30480500753
7032,144174.90415832718
4884,167838.97984589476
903,232524.5543179605
162,186339.66132902107
6566,260423.04300772672
8249,130625.02027837142
13106,188118.90919952813
256,126209.97343852537
7976,167844.56061689212
8575,165493.26008791846
7591,268135.39479186834
3204,235484.66241471056
15804,190555.92626054882
1525,362500.7495851931
9038,205613.53176588533
13628,200501.40979769928
10016,195177.9789009341
10208,217463.843998752
2008,197888.42434702377
13029,200960.66718860698
5099,128092.85111277812
9923,293949.5785394509
9461,136970.59275468893
11086,188263.23355071736
15057,231717.54048904765
10689,175586.2283724844
2053,218705.4514906478
16630,190999.83298520118
4985,168038.11309621733
13881,193335.68369047286
13225,167540.86612523202
5779,65263.00770731749
10262,183159.99165817208
10762,209520.79512212626
9513,196489.48696189254
11128,168340.37114119454
2074,306575.0866730916
933,204622.49257005495
2780,173781.73437803818
6594,119843.27081497242
15394,259320.60510509645
14863,124767.09168900845
6698,196040.86067297892
1611,249119.80031928353
174,190545.26473725593
5160,166617.6135882951
3295,341751.38835550495
4559,400152.99642227433
8254,164327.58780369448
10228,102163.89910086471
13924,133554.25369088538
15341,232840.8597714617
4353,179226.75112793338
4334,68833.91689387552
1872,150172.41100150862
7823,187789.7481699429
310,182830.02075516272
3704,253647.2392577234
11615,301253.4532306501
6605,204191.09008578307
3381,190872.32517424747
2143,143473.35947912835
3191,256257.04886608824
13980,124023.39813306782
15613,167464.70903667453
10943,315321.6321243099
9654,162591.31054104058
16053,364689.5745408302
14931,234511.45245009437
8299,228682.47522641107
2147,167236.42925562308
11567,178665.0735643938
5905,132538.86077525344
11160,119433.43218181933
8275,147312.47148474163
16398,308617.4226523471
11229,188548.74713836846
10309,145217.00355225432
7340,261842.57591434804
7653,174768.05068709305
272,192546.90326803518
9831,236886.33702647118
5016,144256.27793059443
5968,63660.56715425729
796,184949.61959904112
12123,126826.75206405103
16629,178698.88210994008
2637,171854.61995254396
6194,216786.9801245738
6216,335879.2266533264
14346,185082.82149608905
6428,126273.73540153878
2891,245748.59839165225
84,175569.9771749284
9260,240253.2003104509
15250,148857.9421464903
2348,214089.68926262882
10427,274012.80438475485
